titulo,autor,genero,editorial,precio,stock,encuadernacion
LA ETERNIDAD NO ES PARA SIEMPRE,J. C. CERVANTES,ROMANCE,PLANETA,0,0,
9 DE NOVIEMBRE,COLLEEN HOOVER,ROMANCE,PLANETA,0,0,
A LA SOMBRA DEL ARCOIRIS,ELENA CASTILLO CASTRO,ROMANCE,URANO,0,0,
LA TRAICION DE LOS CISNES,A.B. PORANEK,FANTASIA,URANO,0,0,
"ADIOS, PARIS",ANSTEY HARRIS,FICCION GENERAL,URANO,0,0,
AGUAS OSCURAS,ROBERT BRYNDZA,THRILLER,DUOMO EDICIONES,0,0,
ALAS DE ESTRELLA,"DISNEY, ALLISON SAFT",FANTASIA,PLANETA,0,0,
ALAS DE ONIX,REBECCA YARROS,ROMANTASY,PLANETA,0,0,
ALICIA EN EL PAIS DE LAS IDEAS,ROGER-POL DROIT,FICCION GENERAL,ARIEL,0,2,
ALIENTO DE LAS LLAMAS,CLEMENTINE RIVERA,ROMANTASY,PLANETA,0,0,
AMANECER DE ONYX,KATE GOLDEN,ROMANTASY,URANO,0,0,
AMANECER EN LA COSECHA,SUZANNE COLLINS,CIENCIA FICCION,MOLINO (RBA),0,0,
AMOR ANIMAL,LANA FERGUS9N,ROMANTASY,V&R EDITORAS,0,1,
EL AMOR DERRIBA MUROS,REBECCA JENSHAK,ROMANCE,CHIC EDITORIAL,0,0,
AMOR EN PRESTAMO,EMILY HENRY,ROMANCE,PLANETA,0,0,
"ANDE, ANDE, ANDE, LA MARI MORENA",M. J. SANCHEZ,ROMANCE,AUTOPUBLICADO,0,0,
ANTES DE VERTE,EMILY HOUGHTON,ROMANCE,URANO,0,0,
APRENDIZ DEL VILLANO,HANNAH NICOLE MAEHRER,ROMANTASY,FAERIS EDITORIAL,0,0,
APUESTO POR NOSOTROS,LYNN PAINTER,ROMANCE,URANO,0,0,
ASALTO MEDICI,MARINA TENA TENA,FANTASIA,URANO,0,0,
ASESINA DE DIOSES,HANNAH KANER,FANTASIA,URANO,0,0,
ASISTENTE DEL VILLANO,HANNAH NICOLE MAEHRER,ROMANTASY,ZIG ZAG,0,0,
ATMOSPHERE,CHARLES SOULE,CIENCIA FICCION,PLANETA,0,0,
ATRAPADA EN VACACIONES,CHRISTINA LAUREN,ROMANCE,V&R EDITORAS,0,4,
LA BELLA Y LA BESTIA,JEANNE-MARIE LEPRINCE DE BEAUMONT),CLASICOS,ALMA,0,0,
BESTIARIO,JULIO CORTAZAR,FICCION GENERAL,ALFAGUARA,0,0,
BETTER,CARRIE ELKS,ROMANCE,CHIC EDITORIAL,0,0,
BIENVENIDOS A LA LIBRERIA HYUNAM-DONG,SATOSHI YAGISAWA,FICCION GENERAL,PLANETA,0,9,
BIRTHDAY GIRL,PENELOPE DOUGLAS,DARK ROMANCE,PLANETA,0,7,
Butcher,KEVIN PANETTA,ROMANCE,PLANETA,0,0,
BLUEBELLS,S. M. SOTO,ROMANCE,CHIC EDITORIAL,0,0,
BOSS,EVA MUÑOZ,DARK ROMANCE,MONTENA,0,22,
BUTCHER,SELENE M.,DARK ROMANCE,AUTOPUBLICADO,0,0,
BUTCHER AND BLACKBIRD,BRYNNE WEAVER,DARK ROMANCE,CONTRALUZ,0,1,
EL BUZON DE LAS IMPURAS,FRANCISCA SOLAR,HISTORICO,URANO,0,1,
CADENAS DEL REY,JENNIFER L. ARMENTROUT,ROMANTASY,URANO,0,0,
CANTO DE TORMENTOS,BRAIDEE OTTO,FANTASIA,ZIG ZAG,0,0,
CAPTIVE,SARAH RIVENS,DARK ROMANCE,PLANETA,0,0,
CARTAS DE OTRO MUNDO,EMILY J. TAYLOR,FANTASIA,URANO,0,0,
"CHARLIE, EL AMOR Y LOS CLICHES",ELLA MAISE,ROMANCE,CHIC EDITORIAL,0,0,
CIUDAD DE POLVO DE ESTRELLAS,GEORGIA SUMMERS,FANTASIA,URANO,0,0,
COLLIDE,BAL KHABRA,ROMANCE,V&R EDITORAS,0,0,
CONFESIONES,SAN AGUSTIN DE HIPONA,CLASICOS,ALIANZA,0,0,
CORAZON ROTO,MARIA MARTINEZ,ROMANCE,PLANETA,0,0,
CORAZON AGRIDULCE,H. HUNTING,ROMANCE,WONDERBOOKS,0,0,
CORRUPT,PENELOPE DOUGLAS,DARK ROMANCE,PLANETA,0,2,
CORTAR EL VIENTO,LYLA SAGE,ROMANCE,URANO,0,0,
UN CRUCIGRAMA Y UN CAFÉ,LORETA M.,ROMANCE,AUTOPUBLICADO,0,0,
CRUZAR LA LINEA,COLLEEN HOOVER,ROMANCE,PLANETA,0,0,
CUANDO DESPIERTEN LAS FLORES,ANDREA LONGARELA,ROMANCE,PLANETA,0,0,
CUANDO EL CIELO SE VUELVA AMARILLO,NEREA PASCUAL,ROMANCE,ESENCIA,0,0,
CUANDO HARU ESTUVO AQUI,DUSTIN THAO,ROMANCE,KIWI,0,0,
