Título,Autor(a),ISBN,Género,Estado
"¿Qué tal, hijos de la Pachamama? Un viaje al Chile misterioso",Claudio Retamales Pereira,9789566432098,Non-Fiction,Read
El rey (El príncipe cautivo #3),C. S. Pacat,9789566402015,Fantasy,Read
Todas las criaturas oscuras (Todas las criaturas oscuras #1),Paula Gallego,9788419252449,Fantasy,Read
Siembra Negra,Jesús Diamantino,9789566402527,Horror,Read
Tu nombre a medianoche,Paula Gallego,9791387595319,Historical,Read
El guerrero (El príncipe cautivo #2),C. S. Pacat,9789566196938,Fantasy,Read
Vuela lejos,Kristin Hannah,9788491297062,Contemporary,Read
La Vida con Perros 03,Yuka Katano,9788410388819,Literary,Read
La Vida con Perros 02,Yuka Katano,9788410350755,Literary,Read
La Vida con Perros 01,Yuka Katano,9788417292409,Literary,Read
El esclavo (El príncipe cautivo #1),C. S. Pacat,9789566196921,Fantasy,Read
La rebelión de la mariposa,Miriam Mosquera,9788410239548,Dystopian,Read
Lucy Inmortal,Kiersten White,9788410085480,Fantasy,Read
El amor a las puertas del Infierno,Jaysea Lynn,9788410085824,Fantasy,Read
El bosque de corazones,M. A. Kuzniar,9788410239678,Fantasy,Read
La leyenda de la serpiente blanca,Sher Lee,9788410239524,Fantasy,Read
Silvercloak (Silvercloak Saga #1),Laura Steven,9788410085732,Fantasy,Read
A siete años de ti,Ashley Poston,9788410391154,Romance,Read
"Orgullo, prejuicio y veneno (Colección Cozy Mistery #36)",Elizabeth Peters,9788410206694,Mystery Thriller & Crime,Read
Invocación (The Summoner's Circle #1),S.T. Gibson,9789689700500,Fantasy,Read
Alchemised,SenLin Yu,9789566393412,Fantasy,Read
Rojo y Oro (Nueva edición limitada con cantos tintados),Iria G. Parente Selene M. Pascual,9788427251663,Fantasy,Read
Un mar de secretos enterrados,Adrienne Young,9788410085619,Mystery Thriller & Crime,Read
Hechizos para olvidar,Adrienne Young,9788419030153,Fantasy,Read
Los Cuatro,Ellie Keel,9788410085176,Mystery Thriller & Crime,Read
Home Far Away,Teki Yatsuda,9788419195104,Romance,Read
Eterna (El universo elemental #2),Gonzalo Fabres,9789564064062,SciFi,Read
Una magia impregnada de veneno (The Book of Tea #1),Judy I. Lin,9789566145486,Fantasy,Read
Los días en los que más te quise,Amy Neff,9788492919727,Literary,Read
Borroso Primer Amor #1,Wataru Hinekure,9786076366066,Romance,Read
El puente de las almas (Cassidy Blake #3),Victoria Schwab,9788417854133,Fantasy,Read
Deja de decir mentiras,Philippe Besson,9786078998357,Literary,Read
Los últimos días de Clayton and Co (Edición Limitada),Francisca Solar,9791387595227,Historical,Read
Tras tres soles,Irene Morales,9788424672881,Fantasy,Read
Historias chilenas paranormales,César Parra,9789566289432,Mystery Thriller & Crime,Read
Los túneles de huesos (Cassidy Blake #2),Victoria Schwab,9788492918720,Fantasy,Read
Eterna (El universo elemental #1),Gonzalo Fabres,9789564063577,SciFi,Read
La ciudad de los fantasmas (Cassidy Blake #1),Victoria Schwab,9788492918249,Fantasy,Read
El Pacto de la Rosa (The Rose Bargain #1),Sasha Peyton Smith,9788410239289,Fantasy,Read
Placeres Violentos (Secret Shanghai #1),Chloe Gong,9788412365573,Fantasy,Read
El beso final,Alicia Jasinska,9789564088167,Fantasy,Read
Estrella y Espía,Marie Lu,9789566196600,Fantasy,Read
