TÍTULO,AUTOR,EDICIÓN,ISBN
La Bella y La Bestia (Novelización de la película),A.L. Singer,Tapa dura,9788440644701
Fable,Adrienne Young,Tapa blanda,9788417854348
Asesinato en el Orient Express (Hercule Poirot 10),Agatha Christie,Tapa blanda,9789563602135
Diez negritos,Agatha Christie,Tapa blanda,9789875807464
El Espejo Roto (Miss Marple 8),Agatha Christie,Tapa blanda,9789875800120
Muerte en el Nilo (Hercule Poirot 18),Agatha Christie,Tapa blanda,9789871144495
Un cadáver en la biblioteca (Miss Marple 2),Agatha Christie,Tapa blanda,9786070744761
Perdidos en Nunca Jamás,Aiden Thomas,Tapa blanda,9789877477955
"Saud, el Leopardo",Alberto Vázquez-Figueroa,Tapa dura,9788498723694
Pabellón 57,Alejandra Diaz,Tapa blanda,9789561238121
Un extraño lugar para morir,Alejandro Pedregosa,Tapa blanda,9788466637961
Noche de caballeros,Alexene Farol Follmuth,Tapa blanda,9788410239104
El chico que dibujaba constelaciones,Alice Kellen,Tapa blanda,9786070797255
El día que dejó de nevar en Alaska,Alice Kellen,Tapa dura,9788419131447
Heartstopper (Tomo 5),Alice Oseman,Tapa blanda,9786313001002
Heartstopper (Tomo 2),Alice Oseman,Tapa blanda,9789877476583
Heartstopper (Tomo 4),Alice Oseman,Tapa blanda,9789877477474
Heartstopper (Tomo 3),Alice Oseman,Tapa blanda,9789877476972
Heartstopper (Tomo 1),Alice Oseman,Tapa blanda,9789877475876
Heartstopper (Portada Netflix),Alice Oseman,Tapa blanda,9781444968927
Loveless: ¿Está destinada a vivir sin amor?,Alice Oseman,Tapa blanda,9789877477993
Nick y Charlie,Alice Oseman,Tapa blanda,9789877478242
Radio silencio,Alice Oseman,Tapa blanda,9789877479911
El beso final (Spirits and Saints 1),Alicia Jasinska,Tapa blanda,9786073928861
Proyecto Hail Mary,Andy Weir,Tapa blanda,9786073802536
Entrevista con el vampiro (Crónicas vampíricas 1),Anne Rice,Tapa dura,9788498721584
Un hombre muerto en Deptford,Anthony Burgess,Tapa blanda,9788420473673
El principito,Antoine de Saint-Exupéry,Tapa dura,9789563163858
El principito,Antoine de Saint-Exupéry,Tapa dura,9789962047506
Relatos de Samuráis,Asataro Miyamori,Tapa blanda,9788494117329
Un hogar en tinieblas,Barbara Esstman,Tapa blanda,9788497594288
Tierra sagrada,Barbara Wood,Tapa blanda,9788497937245
Marea,Beatriz García-Huidobro,Tapa blanda,9789562825375
