titulo,autor
LA ETERNIDAD NO ES PARA SIEMPRE,J. C. CERVANTES
9 DE NOVIEMBRE,COLLEEN HOOVER
A LA SOMBRA DEL ARCOIRIS,ELENA CASTILLO CASTRO
LA TRAICION DE LOS CISNES,A.B. PORANEK
"ADIOS, PARIS",ANSTEY HARRIS
AGUAS OSCURAS,ROBERT BRYNDZA
ALAS DE ESTRELLA,"DISNEY, ALLISON SAFT"
ALAS DE ONIX,REBECCA YARROS
ALICIA EN EL PAIS DE LAS IDEAS,ROGER-POL DROIT
ALIENTO DE LAS LLAMAS,CLEMENTINE RIVERA
AMANECER DE ONYX,KATE GOLDEN
AMANECER EN LA COSECHA,SUZANNE COLLINS
AMOR ANIMAL,LANA FERGUS9N
EL AMOR DERRIBA MUROS,REBECCA JENSHAK
AMOR EN PRESTAMO,EMILY HENRY
"ANDE, ANDE, ANDE, LA MARI MORENA",M. J. SANCHEZ
ANTES DE VERTE,EMILY HOUGHTON
APRENDIZ DEL VILLANO,HANNAH NICOLE MAEHRER
APUESTO POR NOSOTROS,LYNN PAINTER
ASALTO MEDICI,MARINA TENA TENA
ASESINA DE DIOSES,HANNAH KANER
ASISTENTE DEL VILLANO,HANNAH NICOLE MAEHRER
ATMOSPHERE,CHARLES SOULE
ATRAPADA EN VACACIONES,CHRISTINA LAUREN
LA BELLA Y LA BESTIA,JEANNE-MARIE LEPRINCE DE BEAUMONT)
BESTIARIO,JULIO CORTAZAR
BETTER,CARRIE ELKS
BIENVENIDOS A LA LIBRERIA HYUNAM-DONG,SATOSHI YAGISAWA
BIRTHDAY GIRL,PENELOPE DOUGLAS
Butcher,KEVIN PANETTA
BLUEBELLS,S. M. SOTO
BOSS,EVA MUÑOZ
BUTCHER,SELENE M.
BUTCHER AND BLACKBIRD,BRYNNE WEAVER
EL BUZON DE LAS IMPURAS,FRANCISCA SOLAR
CADENAS DEL REY,JENNIFER L. ARMENTROUT
CANTO DE TORMENTOS,BRAIDEE OTTO
CAPTIVE,SARAH RIVENS
CARTAS DE OTRO MUNDO,EMILY J. TAYLOR
"CHARLIE, EL AMOR Y LOS CLICHES",ELLA MAISE
CIUDAD DE POLVO DE ESTRELLAS,GEORGIA SUMMERS
COLLIDE,BAL KHABRA
CONFESIONES,SAN AGUSTIN DE HIPONA
CORAZON ROTO,MARIA MARTINEZ
CORAZON AGRIDULCE,H. HUNTING
CORRUPT,PENELOPE DOUGLAS
CORTAR EL VIENTO,LYLA SAGE
UN CRUCIGRAMA Y UN CAFÉ,LORETA M.
CRUZAR LA LINEA,COLLEEN HOOVER
CUANDO DESPIERTEN LAS FLORES,ANDREA LONGARELA
CUANDO EL CIELO SE VUELVA AMARILLO,NEREA PASCUAL
CUANDO HARU ESTUVO AQUI,DUSTIN THAO
CUANDO NO QUEDEN MAS ESTRELLAS QUE CONTAR,MARIA MARTINEZ
CUANDO SEAS MIA,ABBI GLINES
DE RODILLAS,J. KENNER
DE SANGRE Y CENIZAS,JENNIFER L. ARMENTROUT
DEL ODIO AL AMOR,ALI HAZELWOOD
UN DELIRIO ENCANTADOR,SHEA ERNSHAW
DESEOS PELIGROSOS,TAYLOR HUTTON
DESPUES DEL OCEANO,BELEN MARTINEZ
DESTRUCTORA DE REINOS,VICTORIA AVEYARD
DETONANTE,MAR PETRYK
DIANA IN LOVE,SHANA FESTE Y JEN BESSER
DIOSES DE JADE Y SOMBRA,SILVIA MORENO-GARCIA
DIOSES INDOMABLES,HANNAH KANER
DIRTY DIANA,CHARLENE DIANE MITCHELL
DONDE MORA LA OSCURIDAD,A.B. PORANEK
DOS VIDAS PARA CRECER,KRISTINA MONINGER
DULCE PESADILLA,TRACY WOLFF
LA ECUACION DE LAS ALMAS GEMELAS,CHRISTINA LAUREN
EL AMOR NO TIENE REGLAS,TESSA BAILEY
EL AMOR Y LOS CLICHES,LYNN PAINTER
EL ARTE DE AHOGARSE,SARAH A. PARKER
EL ARTE DE SER NOSOTROS,INMA RUBIALES
EL AñO DE LA LANGOSTA,TERRY HAYES
EL CANTO DE LOS AHOGADOS,KALIE CASSIDY
EL COLOR DE LAS COSAS INVISIBLES,ANDREA LONGARELA
EL CONVENTO,ALANA S. PORTERO
EL CORAZON DEL REY,JENNIFER L. ARMENTROUT
EL DIA QUE DEJO DE NEVAR EN ALASKA,ALICE KELLEN
EL FARO DE LOS AMORES DORMIDOS,ANDREA LONGARELA
EL LOBO Y LA SERPIENTE,REBECCA ROBINSON
EL MAGO DE OZ,L. FRANK BAUM
EL MISTERIO DE LA LAVANDERIA DE YEONNAM DONG,KIM JIYUN
EL PAJARO Y EL CORAZON DE PIEDRA,CARISSA BROADBENT
EL PRINCIPE CAUTIVO,C. S. PACAT
EL PROBLEMA DEL PARAISO,CHRISTINA LAUREN
EL RETORNO DE RACHEL PRICE,HOLLY JACKSON
EL REY DE LA MASCARA OSCURA,JAVIERA VALENZUELA
EL SECRETO DE LAS NUBES,ALYSON RICHMAN
EL SECRETO DEL RIO,SANDRA BARNEDA
EL SEñOR NUMERO DESCONOCIDO,LYNN PAINTER
EL SOL TAMBIEN ES UNA ESTRELLA,NICOLA YOON
EL SUSURRO DE LAS ESTRELLAS,CRISTIN WILLIAMS
EL VALS DE LA BRUJA,BELEN MARTINEZ
EL VERDUGO,PÄR LAGERKVIST
EN LAS NUBES,LAURA CHICA
EN LO MAS PROFUNDO,JENNIFER E. ARCHER
UN ENCANTAMIENTO FRAGIL,REBECCA ROSS
ENTRE TU Y YO,NORA ROBERTS
ERES EL AMOR DE MI OTRA VIDA,GILRAEN EÄRFALAS
ESCANDALO REAL,CAT SCHIELD
PUNK 57,PENELOPE DOUGLAS
ESCAPARATE NAVIDEñO,JENNY COLGAN
ESNOB,ELISABET BENAVENT
ETEREO,JOANA MARCUS
FEARFUL,SARAH RIVENS
FELICES PARA NUNCA,LYNN PAINTER
FINGE QUE ME QUIERES,ELENA ARMAS
FIVE BROTHERS,PENELOPE DOUGLAS
FLAWLESS,ELSIE SILVER
LA FRAGILIDAD DE UN CORAZON BAJO LA LLUVIA,MARIA MARTINEZ
GAIJIN,MAXIMILIANO MATAYOSHI
GENTE QUE CONOCEMOS EN VACACIONES,EMILY HENRY
"GIULIA, EL AMOR Y UN PUÑADO DE LAVANDA",CHERRY CHIC
GRIMM MORTAL,GENA SHOWALTER
