Título,Autor(a)
"¿Qué tal, hijos de la Pachamama? Un viaje al Chile misterioso",Claudio Retamales Pereira
El rey (El príncipe cautivo #3),C. S. Pacat
Todas las criaturas oscuras (Todas las criaturas oscuras #1),Paula Gallego
Siembra Negra,Jesús Diamantino
Tu nombre a medianoche,Paula Gallego
El guerrero (El príncipe cautivo #2),C. S. Pacat
Vuela lejos,Kristin Hannah
La Vida con Perros 03,Yuka Katano
La Vida con Perros 02,Yuka Katano
La Vida con Perros 01,Yuka Katano
El esclavo (El príncipe cautivo #1),C. S. Pacat
La rebelión de la mariposa,Miriam Mosquera
Lucy Inmortal,Kiersten White
El amor a las puertas del Infierno,Jaysea Lynn
El bosque de corazones,M. A. Kuzniar
La leyenda de la serpiente blanca,Sher Lee
Silvercloak (Silvercloak Saga #1),Laura Steven
A siete años de ti,Ashley Poston
"Orgullo, prejuicio y veneno (Colección Cozy Mistery #36)",Elizabeth Peters
Invocación (The Summoner's Circle #1),S.T. Gibson
Alchemised,SenLin Yu
Rojo y Oro (Nueva edición limitada con cantos tintados),Iria G. Parente Selene M. Pascual
Un mar de secretos enterrados,Adrienne Young
Hechizos para olvidar,Adrienne Young
Los Cuatro,Ellie Keel
Home Far Away,Teki Yatsuda
Eterna (El universo elemental #2),Gonzalo Fabres
Una magia impregnada de veneno (The Book of Tea #1),Judy I. Lin
Los días en los que más te quise,Amy Neff
Borroso Primer Amor #1,Wataru Hinekure
El puente de las almas (Cassidy Blake #3),Victoria Schwab
Deja de decir mentiras,Philippe Besson
Los últimos días de Clayton and Co (Edición Limitada),Francisca Solar
Tras tres soles,Irene Morales
Historias chilenas paranormales,César Parra
Los túneles de huesos (Cassidy Blake #2),Victoria Schwab
Eterna (El universo elemental #1),Gonzalo Fabres
La ciudad de los fantasmas (Cassidy Blake #1),Victoria Schwab
El Pacto de la Rosa (The Rose Bargain #1),Sasha Peyton Smith
Placeres Violentos (Secret Shanghai #1),Chloe Gong
El beso final,Alicia Jasinska
Estrella y Espía,Marie Lu
El imperio del caos (Time Keeper #2),Iria G. Parente Selene M. Pascual
Aurora’s  Burning(The Aurora Cycle #2),Amie Kaufman
El arte de ahorgarse (A Study in Drowning #1),Ava Reid
El último juramento (The Last Binding #1),Freya Marske
Aurora’s  Rising (The Aurora Cycle #1),Amie Kaufman
"Tu sangre, mis huesos",Kelly Andrew
Cuando Reescribamos la Historia,Belén Martínez
Electra,Jennifer Saint
Las Puertas Invisibles,Alice Hoffman
El martillo de Thor (Magnus Chase #2),Rick Riordan
Psique y Eros,Luna Mcnamara
Volverás a Alaska (Bolsillo),Kristin Hannah
Entes de huesos,Emily Lloyd-Jones
Laurel de oro #1,Saraly Gute
Circe (Booket),Madeline Miller
La maldición de June Farrow,Adrienne Young
